mains_year,mains_exam_stage,mains_gs_paper,mains_question_type,mains_question_format,mains_subject,mains_sub_topic,mains_keywords,mains_difficulty_level,mains_current_affairs_linked,mains_repeated_theme,mains_marks
2016,Mains,GS2,Static,15-mark,Polity,Parliamentary System,"system, india, health, you, positioning, systems, discuss, advantages, court, absence, well, educated",Moderate,No,Yes,15
2018,Mains,GS1,Current,10-mark,Society,Women Empowerment,"women, empowerment, favourable, than, sex, ratio, among, scheduled, castes, discuss, positive, negative",Moderate,No,Yes,10
2018,Mains,GS2,Mixed,10-mark,International Relations,Strategic Partnerships,"strategic, dimension, discuss, long, term, institutional, partnerships, elaborate, answer, words",Easy,Yes,No,10
2018,Mains,GS1,Mixed,10-mark,Society,Women Empowerment,"women, empowerment, favourable, than, sex, ratio, among, scheduled, castes, discuss, positive, negative",Easy,No,Yes,15
2015,Mains,GS4,Static,Case Study,Ethics,Ethical Issues in Governance,"issues, governance, discuss, ethical, management, ethically, right, but, not, legally, how, critically",Hard,No,Yes,10
2022,Mains,GS4,Mixed,10-mark,Aptitude,Leadership,leadership,Hard,Yes,No,15
2016,Mains,GS1,Mixed,15-mark,Geography,Indian Physiography,"indian, how, answer, been, you, constitution, gold, increased, words, ancient, civilization, sub",Easy,Yes,No,15
2025,Mains,GS3,Mixed,10-mark,Environment,Climate Change,"changes, discuss, change, india, brought, can, how, trends, labour, migration, within, outside",Moderate,Yes,No,15
2016,Mains,GS3,Static,15-mark,Environment,Environmental Impact Assessment,"environmental, india, impact, their, what, discuss, how, words, employees, recent, reforms, protection",Easy,Yes,Yes,15
2013,Mains,GS1,Current,10-mark,Geography,Climatology,climatology,Hard,Yes,Yes,10
2013,Mains,GS1,Static,10-mark,History,Modern Indian Thinkers,"indian, how, answer, modern, been, you, constitution, gold, increased, given, words, ancient",Hard,No,No,10
2025,Mains,GS4,Mixed,Case Study,Ethics,Attitude and Aptitude,"discuss, india, what, you, how, words, not, can, answer, there, their, critically",Hard,Yes,Yes,10
2021,Mains,GS1,Current,15-mark,History,Indian Art and Culture,"discuss, india, you, how, what, words, answer, indian, not, can, there, power",Moderate,No,No,15
2020,Mains,GS1,Mixed,10-mark,History,World History Revolutions,"world, what, extent, can, germany, held, responsible, causing, two, wars, discuss, waning",Hard,Yes,No,15
2024,Mains,GS2,Mixed,10-mark,International Relations,Indian Diaspora,"indian, how, answer, been, you, constitution, gold, increased, words, ancient, civilization, sub",Easy,No,No,10
